participant,condition,char,RT
JBO_04172025,ND_fast,P,660
JCN_04192025,D_fast,P,384
JCN_04192025,ND_fast,P,664
JMY_03312025,D_fast,P,307
JMY_03312025,ND_fast,P,506
JPK_04182025,D_fast,P,414
JPK_04182025,ND_fast,P,629
JWG_03272025,D_fast,P,476
JWG_03272025,ND_fast,P,564
JXI_04182025,D_fast,P,349
JXI_04182025,ND_fast,P,529
KCA_04072025,D_fast,P,426
KCA_04072025,ND_fast,P,721
KHT_04072025,D_fast,P,433
KHT_04072025,ND_fast,P,1017
KSN_04042025,D_fast,P,437
KSN_04042025,ND_fast,P,909
MAO_04192025,D_fast,P,476
MAO_04192025,ND_fast,P,706
MHE_04032025,D_fast,P,598
MHE_04032025,ND_fast,P,882
MSN_04092025,D_fast,P,491
MSN_04092025,ND_fast,P,694
NMS_04112025,D_fast,P,433
NMS_04112025,ND_fast,P,798
OMY_04202025,D_fast,P,514
OMY_04202025,ND_fast,P,832
TCO_03272025,D_fast,P,568
TCO_03272025,ND_fast,P,940
YWG_03262025,D_fast,P,426
YWG_03262025,ND_fast,P,924
AMS_04142025,D_fast,S,246
AMS_04142025,ND_fast,S,468
APM_04072025,D_fast,S,349
APM_04072025,ND_fast,S,614
ARI_04162025,D_fast,S,357
ARI_04162025,ND_fast,S,683
CJG_03242025,D_fast,S,326
CJG_03242025,ND_fast,S,564
CKM_04162025,D_fast,S,376
CKM_04162025,ND_fast,S,518
CLE_03272025,D_fast,S,364
CLE_03272025,ND_fast,S,533
EBZ_04182025,D_fast,S,445
EBZ_04182025,ND_fast,S,503
ESU_04182025,D_fast,S,315
ESU_04182025,ND_fast,S,456
JBO_04172025,D_fast,S,322
JBO_04172025,ND_fast,S,541
JCN_04192025,D_fast,S,295
JCN_04192025,ND_fast,S,549
JMY_03312025,D_fast,S,230
JMY_03312025,ND_fast,S,518
JPK_04182025,D_fast,S,318
JPK_04182025,ND_fast,S,334
JWG_03272025,D_fast,S,288
JWG_03272025,ND_fast,S,426
JXI_04182025,D_fast,S,238
JXI_04182025,ND_fast,S,476
KCA_04072025,D_fast,S,253
KCA_04072025,ND_fast,S,514
KHT_04072025,D_fast,S,269
KHT_04072025,ND_fast,S,802
KSN_04042025,D_fast,S,311
KSN_04042025,ND_fast,S,652
MAO_04192025,D_fast,S,464
MAO_04192025,ND_fast,S,368
MHE_04032025,D_fast,S,292
MHE_04032025,ND_fast,S,733
MSN_04092025,D_fast,S,453
MSN_04092025,ND_fast,S,583
NMS_04112025,D_fast,S,341
NMS_04112025,ND_fast,S,951
OMY_04202025,D_fast,S,384
OMY_04202025,ND_fast,S,733
TCO_03272025,D_fast,S,384
TCO_03272025,ND_fast,S,495
YWG_03262025,D_fast,S,292
YWG_03262025,ND_fast,S,499
